NAME: mona-lisa100K
COMMENT: TSP art (Bosch)
TYPE: TSP
DIMENSION: 100000
EDGE_WEIGHT_TYPE: EUC_2D
NODE_COORD_SECTION
Edge 	Weight
152 - 3964	48.414873747640817
153 - 39297	60.166435825965294
153 - 70320	60.671245248470053
154 - 46015	47.010637094172634
155 - 11440	57.697486947006626
156 - 155	50.000000000000000
157 - 18753	87.321245982864903
159 - 31438	42.201895692018386
159 - 55177	46.010868281309363
160 - 14972	47.169905660283019
160 - 65087	50.119856344566671
161 - 44265	106.400187969758775
163 - 20775	43.566041821583930
163 - 66101	44.204072210600688
163 - 4227	46.010868281309363
165 - 11717	43.289721643826725
166 - 79857	60.876925020897696
167 - 27290	58.000000000000000
169 - 27503	49.010203019371385
172 - 22557	46.097722286464437
173 - 68346	44.598206241955517
174 - 88457	40.816663263917103
175 - 11359	83.294657691835195
177 - 57739	54.147945482723534
179 - 34988	37.000000000000000
179 - 23529	37.696153649941528
179 - 63843	43.657759905886147
180 - 78672	52.086466572421670
181 - 97995	58.694122363316755
181 - 95221	61.773780845922002
184 - 50733	44.407206622349035
185 - 90232	63.560994328282814
186 - 37192	54.378304497290093
187 - 82037	42.544094772365295
187 - 2455	43.416586692184820
188 - 8020	59.203040462462737
191 - 48795	47.169905660283019
191 - 50132	49.091750834534309
193 - 74624	55.317266743757324
194 - 89453	41.773197148410846
195 - 48719	43.185645763378368
198 - 51285	50.931326312987373
200 - 89430	47.095647357266467
201 - 97512	70.682388188289167
203 - 37283	51.865209919559759
204 - 15508	46.861498055439926
205 - 861	55.443665102516446
206 - 28866	63.780874876407896
206 - 15398	70.434366611761336
207 - 96824	43.566041821583930
209 - 12252	61.554853586049573
214 - 69907	89.872131386765275
215 - 30905	47.169905660283019
215 - 11383	49.819674828324602
216 - 24275	41.785164831552358
218 - 12185	42.449970553582249
219 - 68985	53.535035257296693
219 - 54801	55.154328932550707
219 - 82807	57.078892771321344
220 - 10794	68.876701430890257
221 - 5567	49.497474683058327
222 - 13373	39.698866482558416
222 - 83886	41.231056256176605
223 - 23407	46.690470119715008
223 - 26858	48.383881613611779
224 - 82271	54.009258465563106
225 - 84831	49.040799340956913
226 - 20781	41.000000000000000
226 - 5771	52.773099207835046
227 - 13753	47.381430961928535
227 - 44084	56.727418414731337
228 - 32715	74.464756764525861
229 - 52025	49.739320461783553
229 - 65218	52.009614495783373
230 - 33251	44.721359549995794
230 - 10238	44.821869662029941
231 - 41180	82.807004534640667
232 - 23258	47.010637094172634
232 - 76801	50.606323715519980
232 - 75135	52.839379254491626
233 - 8880	42.720018726587656
234 - 47109	49.648766349225637
235 - 18864	43.104524124504611
235 - 75492	47.539457296018851
237 - 95131	38.078865529319541
238 - 67556	39.115214431215892
238 - 91593	41.012193308819756
241 - 89617	41.617304093369623
244 - 84586	53.851648071345040
247 - 69184	60.299253726725342
248 - 29098	44.418464629025619
248 - 6776	46.690470119715008
250 - 14934	40.012498047485113
250 - 72273	42.953463189829059
251 - 63489	45.221676218380052
252 - 28164	47.434164902525690
253 - 42093	77.833154889160185
254 - 28555	84.646323015237939
258 - 99033	65.855903304107825
258 - 32315	69.892775020026212
260 - 19301	40.706264874095240
261 - 3240	121.938509093723136
263 - 16460	70.936591403872797
264 - 40330	99.000000000000000
265 - 63870	118.406080924925473
267 - 47270	41.785164831552358
267 - 46503	42.720018726587656
271 - 13065	51.039200620699380
272 - 13314	51.739733281106117
273 - 43279	37.536648758246919
274 - 62639	50.695167422546303
274 - 89740	53.758720222862449
275 - 34993	66.068146636635722
276 - 71705	42.485291572496004
278 - 47455	52.201532544552751
279 - 51546	42.485291572496004
279 - 76530	43.185645763378368
280 - 76555	59.539902586416784
281 - 41365	41.109609582188931
281 - 98624	48.104053883222774
282 - 41417	49.040799340956913
288 - 27652	40.360872141221131
289 - 36040	66.753277073114545
290 - 26278	62.241465278381742
291 - 52801	59.076221950967718
291 - 58491	60.835844697020522
292 - 98943	76.321687612368740
293 - 58789	54.561891462814960
293 - 22278	57.801384066473702
298 - 77716	57.271284253105413
300 - 37633	34.669871646719432
300 - 59165	39.962482405376171
301 - 70084	58.694122363316755
303 - 36775	40.049968789001571
304 - 22210	44.011362169330774
305 - 20410	42.449970553582249
306 - 69668	99.045444115315067
307 - 99802	94.894678459858854
309 - 96443	43.011626335213134
310 - 95893	47.042533945356302
311 - 99086	42.544094772365295
312 - 19455	119.473846510439263
313 - 8384	41.109609582188931
313 - 71232	46.043457732885353
314 - 68914	43.382023926967723
314 - 43918	46.572524088780071
315 - 36511	44.147480109288231
316 - 12700	54.129474410897433
316 - 1434	64.404968752418474
317 - 48899	50.000000000000000
317 - 72534	69.462219947249023
320 - 30237	46.043457732885353
320 - 65225	46.270941205037098
321 - 47135	44.721359549995794
321 - 84807	46.647615158762404
322 - 64901	51.009802979427396
323 - 62756	61.204574992397423
326 - 36562	46.065171225124085
327 - 76562	41.109609582188931
328 - 89008	47.434164902525690
328 - 90475	50.289163842720630
330 - 56871	46.957427527495584
330 - 12776	55.901699437494742
331 - 64415	54.203320931470610
333 - 97611	44.294469180700202
334 - 27023	49.406477308142502
336 - 31764	45.880278987817849
337 - 60231	67.082039324993691
338 - 24590	45.276925690687083
339 - 73031	88.543774484714621
339 - 78818	90.553851381374166
340 - 39237	35.902646142032484
340 - 19403	43.185645763378368
340 - 23114	43.566041821583930
341 - 31807	51.000000000000000
342 - 46935	37.363083384538809
343 - 7684	47.885279575251516
345 - 60862	38.470768123342690
345 - 83553	43.840620433565947
347 - 47019	39.812058474788766
347 - 86706	47.539457296018851
348 - 27075	49.203658400570175
348 - 2036	54.120236510939233
349 - 29294	84.011903918432893
350 - 31887	39.217343102255155
350 - 7154	40.521599178709618
351 - 5827	46.324939287601878
351 - 37669	57.558665724632638
352 - 10077	45.486261662176636
352 - 95804	46.010868281309363
354 - 88777	43.011626335213134
356 - 15024	40.459856648287819
357 - 23891	41.182520563948001
358 - 55788	87.091905479212016
359 - 71123	87.800911157003377
359 - 36107	89.185200566013193
362 - 70717	44.553338819890929
364 - 29468	39.962482405376171
364 - 18875	45.891175622335063
366 - 93070	55.072679252057458
366 - 54300	60.406953242155824
367 - 33990	51.400389103585588
368 - 73725	43.657759905886147
368 - 19245	46.238512086787568
368 - 61927	46.861498055439926
369 - 70231	162.117241526001793
369 - 50986	184.317660575431567
370 - 10049	47.853944456021596
371 - 95351	50.039984012787214
373 - 47914	43.863424398922618
374 - 3756	42.059481689626181
374 - 12986	48.104053883222774
379 - 85844	58.412327466040933
381 - 33783	59.211485372349848
382 - 10183	44.407206622349035
384 - 79949	111.072048689127905
385 - 31658	43.104524124504611
386 - 67926	66.850579653433073
386 - 86909	71.253070109294238
387 - 44637	62.625873247404702
388 - 54855	47.169905660283019
390 - 46414	51.478150704935002
392 - 52040	48.041648597857255
393 - 8898	49.365980188789931
394 - 51353	49.739320461783553
395 - 89487	41.109609582188931
395 - 74421	43.382023926967723
396 - 36456	40.000000000000000
396 - 48269	41.880783182743849
397 - 11859	49.244289008980524
397 - 39278	50.990195135927848
398 - 9534	46.754678910243839
399 - 29211	46.000000000000000
401 - 9718	45.891175622335063
401 - 32730	54.817880294662981
402 - 99457	52.402290026295607
403 - 78211	46.238512086787568
406 - 36320	43.566041821583930
407 - 25643	75.802374632988906
409 - 56807	45.221676218380052
409 - 66881	46.389654018972808
410 - 17666	39.623225512317899
411 - 74001	45.891175622335063
413 - 41061	49.648766349225637
414 - 15076	62.936475910238254
415 - 13188	91.586025134842488
415 - 66093	104.139329746258690
416 - 8127	43.737855457258075
417 - 73045	49.648766349225637
417 - 60816	51.546095875439490
419 - 95862	46.615448083226659
420 - 32441	46.861498055439926
420 - 34829	51.000000000000000
423 - 49127	48.010415536631215
427 - 7412	43.600458713183282
430 - 63426	43.324358044868940
430 - 70120	46.389654018972808
431 - 1696	41.000000000000000
431 - 2354	45.122056690713911
432 - 98359	58.523499553598126
434 - 82530	144.249783362055695
434 - 61584	150.446003602621495
435 - 93629	80.230916734136847
436 - 96882	48.270073544588680
437 - 58700	44.271887242357311
437 - 67331	44.944410108488464
437 - 21604	48.166378315169182
438 - 24032	60.440052945046301
440 - 56561	46.270941205037098
440 - 32788	50.447993022517754
442 - 84172	44.598206241955517
442 - 28375	46.270941205037098
443 - 6691	41.880783182743849
443 - 59508	45.354161881794266
444 - 98291	58.309518948453005
444 - 47428	59.464274989274022
445 - 53598	41.048751503547584
445 - 35399	46.957427527495584
446 - 51631	57.428216061444918
446 - 81279	64.498061986388397
448 - 46844	41.868842830916643
450 - 44196	36.619666847201109
451 - 27556	51.264022471905187
451 - 24858	52.801515129776342
452 - 17500	45.967379738244815
452 - 25484	47.423622805517505
452 - 12659	49.203658400570175
453 - 25762	42.154477816715984
453 - 9936	42.190046219457973
455 - 57002	63.631753079732135
456 - 1239	45.541190146942800
456 - 81821	47.759815745038213
457 - 69110	44.553338819890929
459 - 54889	44.294469180700202
460 - 806	85.211501571090742
460 - 79683	89.872131386765275
461 - 64358	37.483329627982624
463 - 35752	44.147480109288231
464 - 80054	48.083261120685232
464 - 33708	49.648766349225637
465 - 72245	46.754678910243839
466 - 82215	53.160135440008051
466 - 22932	62.008063991709981
467 - 22425	49.244289008980524
468 - 78232	51.613951602255761
470 - 38562	45.705579528105756
471 - 47889	52.345009313209602
474 - 5785	42.190046219457973
474 - 5992	43.266615305567872
474 - 90314	47.169905660283019
475 - 54338	63.529520697074364
476 - 52544	103.237590053235939
481 - 12093	234.565555868716582
483 - 48009	98.234413521942503
483 - 66849	102.303470126873018
484 - 14760	48.414873747640817
484 - 57859	59.059292240933602
484 - 69862	62.968245965724661
486 - 36408	47.169905660283019
487 - 52075	41.761226035642201
488 - 95330	60.406953242155824
488 - 34537	62.008063991709981
489 - 42401	87.658428003244503
489 - 3210	88.729927307532491
490 - 80639	102.107786186950503
492 - 46706	44.944410108488464
493 - 82516	50.000000000000000
494 - 59109	39.051248379533272
494 - 46950	46.097722286464437
496 - 15006	44.721359549995794
496 - 80998	54.589376255824723
497 - 1695	38.626415831655932
497 - 60305	41.677331968349414
499 - 40672	53.075418038862398
501 - 87709	40.804411526206330
501 - 77378	42.011903075200009
502 - 87058	61.131006862311699
503 - 10531	59.203040462462737
504 - 86033	50.774009099144416
505 - 14860	43.416586692184820
506 - 34037	42.720018726587656
507 - 88911	44.777226354476223
507 - 20455	45.276925690687083
507 - 34273	45.607017003965519
508 - 50736	52.773099207835046
508 - 73401	62.008063991709981
508 - 21233	64.513564465157248
512 - 53866	43.863424398922618
513 - 48387	45.486261662176636
514 - 34633	37.947331922020552
514 - 75792	40.162171256046404
515 - 22344	51.884487084291389
516 - 97803	49.497474683058327
517 - 20852	82.346827504160717
517 - 94754	82.619610262939391
518 - 16527	50.249378105604451
520 - 88197	36.796738985948198
520 - 10062	44.553338819890929
521 - 15694	39.458839313897716
523 - 8365	44.407206622349035
523 - 52376	45.276925690687083
526 - 38896	83.528438271046347
526 - 83851	95.273291115611200
526 - 3516	112.294256309038353
527 - 59511	44.553338819890929
528 - 54733	57.428216061444918
531 - 85331	46.872166581031861
532 - 64941	132.574507353412406
533 - 39553	76.059187479225677
534 - 97176	37.947331922020552
534 - 66491	50.159744815937810
535 - 97149	111.359777298627892
536 - 32553	70.936591403872797
536 - 57073	73.027392121039075
537 - 85409	46.818799642878500
537 - 26084	48.826222462934812
537 - 16788	55.154328932550707
538 - 33091	49.203658400570175
539 - 13834	84.202137740083535
539 - 15995	89.894382471876406
540 - 33254	50.606323715519980
541 - 12747	50.289163842720630
542 - 99179	92.021736562618726
544 - 3761	51.788029504896206
545 - 82613	39.661064030103882
545 - 93912	47.010637094172634
546 - 64722	50.249378105604451
546 - 69989	55.461698495448190
548 - 30705	48.000000000000000
552 - 9570	66.098411478642964
553 - 51846	57.982756057296897
555 - 4826	80.230916734136847
557 - 39356	36.769552621700471
558 - 74448	44.418464629025619
559 - 86209	50.695167422546303
560 - 35021	61.000000000000000
562 - 62145	54.037024344425184
562 - 39806	54.561891462814960
564 - 86257	38.327535793473600
565 - 73485	59.203040462462737
565 - 177	59.933296255086788
566 - 37840	43.416586692184820
566 - 4893	52.801515129776342
567 - 73466	51.855568649856690
567 - 45919	54.378304497290093
568 - 96562	40.000000000000000
568 - 9126	40.853396431630994
569 - 92408	51.088159097779203
570 - 11571	66.189122973491649
570 - 76012	71.196910045310253
571 - 47399	71.168813394632343
572 - 21527	44.654227123532213
574 - 66890	57.035076926396794
575 - 10158	48.301138702933288
576 - 80895	40.792156108742279
576 - 80372	41.048751503547584
576 - 51990	45.607017003965519
578 - 6537	51.739733281106117
578 - 85556	52.402290026295607
578 - 94826	56.356011214421483
579 - 30323	48.270073544588680
579 - 36920	49.335585534176039
582 - 31953	42.953463189829059
584 - 12517	34.176014981270125
584 - 67964	40.496913462633174
586 - 21575	45.650848842053310
590 - 14740	42.449970553582249
591 - 42338	44.777226354476223
592 - 90241	45.705579528105756
593 - 8678	86.925255248402924
594 - 28434	39.446165846632040
595 - 39767	82.927679335671754
595 - 98131	83.546394296821691
597 - 62939	50.990195135927848
598 - 39213	43.566041821583930
599 - 29302	42.296571965113201
600 - 26705	48.764741360946435
601 - 42164	44.777226354476223
601 - 78258	46.324939287601878
602 - 85781	42.190046219457973
603 - 76573	81.608823052412660
604 - 66633	51.244511901275828
607 - 43875	46.647615158762404
608 - 50538	51.078371156488536
609 - 73954	44.271887242357311
610 - 21474	39.204591567825318
610 - 92753	45.891175622335063
610 - 85295	52.038447325030750
611 - 27559	52.839379254491626
612 - 69190	53.037722424704476
614 - 29146	50.358713248056686
614 - 51944	54.037024344425184
615 - 95313	47.095647357266467
616 - 39672	72.443081105099333
616 - 82438	82.873397420402646
617 - 36416	60.440052945046301
619 - 11115	51.478150704935002
620 - 81076	53.235326616824659
622 - 33411	51.264022471905187
622 - 11140	55.000000000000000
623 - 35603	45.122056690713911
624 - 80567	50.447993022517754
625 - 95287	50.695167422546303
625 - 46496	56.435804238089848
626 - 19147	53.366656256505335
628 - 15137	37.121422386541171
629 - 28573	50.119856344566671
630 - 85627	43.139309220245982
633 - 27455	40.311288741492748
636 - 68703	44.102154142399893
637 - 2733	57.201398584300367
638 - 73505	77.884529914483017
639 - 19943	42.047592083257277
639 - 11963	50.358713248056686
640 - 75663	52.630789467763069
643 - 52535	128.226362344098337
645 - 91924	42.801869118065393
646 - 95252	47.169905660283019
647 - 12072	77.103826104804942
648 - 48645	45.803929962395148
649 - 48622	46.872166581031861
650 - 8572	139.283882771841193
651 - 67560	45.099889135118725
652 - 44236	58.420886675914120
653 - 44536	43.931765272977593
653 - 64083	46.043457732885353
654 - 63641	71.847059786744231
655 - 99011	54.083269131959839
656 - 54983	54.571054598569011
656 - 93733	57.982756057296897
658 - 11465	46.529560496527366
658 - 13882	53.851648071345040
659 - 30141	48.083261120685232
659 - 10093	53.535035257296693
660 - 35612	62.177166226839254
660 - 73656	68.818602136341014
662 - 37956	48.270073544588680
663 - 24531	42.107006542854599
665 - 85613	41.109609582188931
665 - 2121	43.266615305567872
667 - 2872	61.294371682887818
668 - 40827	33.301651610693425
669 - 91830	45.011109739707596
669 - 5653	51.088159097779203
669 - 21065	54.230987451824994
670 - 16426	48.383881613611779
671 - 63130	43.931765272977593
672 - 41821	48.373546489791298
673 - 66772	42.438190347845889
678 - 4898	45.880278987817849
678 - 19970	47.296934361541869
679 - 97815	39.812058474788766
680 - 92017	49.517673612559789
680 - 18447	51.546095875439490
681 - 79708	53.712196007983140
682 - 12338	55.470712993434653
682 - 5720	59.539902586416784
682 - 755	60.216276869298387
683 - 4770	76.902535718921519
684 - 6260	46.010868281309363
685 - 70793	43.566041821583930
685 - 40488	49.739320461783553
686 - 84771	43.011626335213134
687 - 30084	65.000000000000000
688 - 45983	67.801179930735719
689 - 67204	43.185645763378368
689 - 66581	47.634021455258215
690 - 65377	49.578221024962160
690 - 22684	54.037024344425184
691 - 60008	45.221676218380052
691 - 33976	45.705579528105756
693 - 77856	40.459856648287819
693 - 24853	42.047592083257277
695 - 37124	89.899944382630182
695 - 38497	105.848948979193931
695 - 71456	107.168092266308445
696 - 8581	50.219518117958878
698 - 84742	53.225933528685056
698 - 27495	55.317266743757324
699 - 78201	48.373546489791298
701 - 76321	50.358713248056686
702 - 91447	42.449970553582249
702 - 131	43.829214001622251
704 - 55168	44.598206241955517
704 - 40437	46.065171225124085
705 - 74630	67.000000000000000
705 - 50238	70.007142492748552
705 - 29185	102.961157724648765
706 - 65321	45.793012567421244
707 - 66461	44.102154142399893
711 - 24918	69.115844782509893
713 - 27728	78.447434629820751
713 - 92478	79.404030124421267
715 - 39353	49.406477308142502
718 - 22712	71.610055159872625
720 - 2112	43.174066289845806
720 - 24210	43.863424398922618
721 - 56528	51.419840528729764
721 - 69013	55.542776307995264
722 - 92356	36.674241641784496
722 - 88918	39.698866482558416
722 - 65599	39.849717690342550
722 - 28801	41.194659848091961
723 - 83589	51.000000000000000
725 - 13007	54.332310828824500
725 - 26841	55.217750769114093
726 - 32533	40.360872141221131
727 - 30917	45.000000000000000
728 - 79048	48.795491595023407
729 - 4728	52.801515129776342
730 - 32764	43.416586692184820
732 - 81028	43.174066289845806
733 - 89061	51.224993899462789
734 - 63597	48.754486972995624
735 - 22628	41.109609582188931
736 - 27268	43.104524124504611
740 - 72444	42.953463189829059
740 - 57971	43.416586692184820
740 - 43108	47.265209192385894
741 - 81579	44.821869662029941
743 - 50398	48.093658625644192
743 - 19648	51.351728305871069
744 - 99803	41.231056256176605
744 - 59518	42.438190347845889
745 - 78020	39.849717690342550
745 - 72062	45.177427992306069
746 - 2447	43.680659335683110
750 - 57189	50.328918128646477
751 - 21695	45.354161881794266
752 - 52247	46.065171225124085
754 - 61748	56.000000000000000
754 - 41844	60.539243470661243
755 - 23759	56.612719418872646
758 - 21647	39.293765408777001
759 - 85200	46.227697325304880
759 - 63619	47.801673610868480
759 - 70034	48.836461788299119
760 - 4671	49.578221024962160
760 - 23408	49.578221024962160
761 - 72246	41.048751503547584
761 - 50491	41.868842830916643
763 - 26454	47.434164902525690
764 - 62529	65.855903304107825
765 - 89762	51.078371156488536
767 - 575	45.453272709454047
768 - 15553	60.207972893961477
770 - 59718	53.814496188294841
773 - 78901	45.354161881794266
774 - 81212	47.759815745038213
774 - 69079	50.039984012787214
775 - 18458	45.607017003965519
776 - 71133	59.059292240933602
777 - 17070	43.566041821583930
777 - 58856	45.000000000000000
779 - 43607	65.459911396212568
779 - 29182	68.264192663504049
780 - 33162	41.773197148410846
780 - 69107	42.520583250938598
781 - 62295	56.648036153074186
782 - 32674	38.470768123342690
782 - 2862	47.169905660283019
782 - 80287	48.703182647543682
783 - 48225	47.423622805517505
784 - 86944	51.400389103585588
784 - 217	52.354560450833698
785 - 41587	42.011903075200009
785 - 31731	46.324939287601878
785 - 73876	49.091750834534309
786 - 9637	56.462376853972416
787 - 36995	44.283179650969057
788 - 23217	60.440052945046301
788 - 70439	68.963758598266670
789 - 22147	41.484937025383081
790 - 1044	47.296934361541869
793 - 83025	45.891175622335063
794 - 68066	76.967525619575429
795 - 2044	49.040799340956913
796 - 97744	54.230987451824994
796 - 91247	62.032249677083291
797 - 70237	48.918299234540033
798 - 77396	84.202137740083535
798 - 50273	92.021736562618726
800 - 69865	68.154236845554950
800 - 44020	78.771822373231914
801 - 54675	39.824615503479754
802 - 65767	47.927027865287036
803 - 51681	58.898217290508887
804 - 94137	79.259068881737439
804 - 68328	81.688432473637294
805 - 99290	41.182520563948001
807 - 903	57.008771254956899
809 - 75841	56.035702904487600
810 - 44642	107.707938426097452
813 - 76781	54.378304497290093
814 - 43497	34.000000000000000
816 - 82811	46.690470119715008
817 - 63404	46.572524088780071
818 - 380	47.853944456021596
821 - 67141	52.345009313209602
822 - 97631	57.870545184921146
823 - 36539	47.127486671792715
823 - 69391	50.477717856495850
824 - 89352	56.718603649948929
824 - 39754	62.681735776859275
825 - 23311	46.669047558312137
825 - 19928	51.078371156488536
826 - 7656	116.558997936667249
829 - 32343	49.254441424099005
832 - 34263	46.518813398452029
832 - 86688	49.010203019371385
834 - 91711	45.803929962395148
834 - 84881	50.990195135927848
838 - 99088	42.047592083257277
839 - 76848	48.104053883222774
839 - 38581	48.270073544588680
839 - 29650	48.754486972995624
839 - 14380	53.235326616824659
840 - 85467	109.658560997306544
840 - 17397	122.114700179789984
841 - 72752	43.011626335213134
842 - 63930	43.081318457076032
844 - 13974	42.720018726587656
845 - 33030	49.193495504995373
847 - 9856	45.453272709454047
849 - 31002	38.948684188300893
849 - 10535	41.012193308819756
849 - 25671	43.600458713183282
850 - 28465	46.572524088780071
851 - 23066	42.579337712087538
852 - 34174	71.196910045310253
853 - 79504	29.154759474226502
853 - 7720	38.418745424597092
854 - 67763	91.416628684282599
854 - 44209	91.547801721286569
855 - 23838	53.084837759947991
855 - 28297	54.405882034941773
857 - 80891	45.099889135118725
858 - 14399	41.617304093369623
859 - 1567	45.343136195018536
859 - 36263	47.296934361541869
859 - 44892	51.039200620699380
861 - 2684	50.328918128646477
862 - 85128	40.012498047485113
862 - 50201	42.379240200834182
863 - 84572	42.201895692018386
863 - 84037	46.324939287601878
864 - 58546	42.011903075200009
865 - 82877	46.690470119715008
866 - 76760	63.639610306789277
866 - 95918	66.640828326184542
867 - 30430	49.244289008980524
867 - 27736	50.695167422546303
870 - 71735	43.680659335683110
871 - 47084	51.662365412357960
872 - 64389	46.173585522460783
873 - 84047	37.947331922020552
873 - 31494	42.201895692018386
874 - 82699	49.517673612559789
875 - 57609	46.818799642878500
875 - 57289	59.076221950967718
876 - 35932	83.006023877788532
877 - 18045	53.366656256505335
878 - 70520	76.661594035083826
880 - 40457	45.276925690687083
881 - 7111	48.332183894378288
882 - 12911	42.190046219457973
883 - 49433	46.000000000000000
884 - 22894	64.498061986388397
885 - 69792	46.324939287601878
887 - 60881	45.486261662176636
888 - 96130	47.201694884823786
888 - 34285	50.990195135927848
889 - 77434	38.600518131237565
890 - 75619	61.392181912683312
891 - 18951	56.462376853972416
893 - 75533	101.019800039398217
894 - 77353	50.249378105604451
894 - 21004	50.803543183522151
895 - 18388	98.183501669068618
896 - 62216	48.414873747640817
896 - 38346	49.769468552517215
898 - 48421	58.240879114244146
899 - 9150	49.477267507411927
899 - 86416	50.695167422546303
900 - 14686	34.539832078341087
900 - 70333	41.012193308819756
901 - 33373	45.310043036836767
903 - 12091	58.898217290508887
904 - 31258	44.687805943008659
906 - 76248	48.104053883222774
907 - 17448	51.478150704935002
909 - 91532	76.850504227363401
909 - 99430	83.216584885466190
909 - 25176	85.375640553965977
910 - 4103	75.802374632988906
910 - 61633	92.439169187092979
911 - 98182	43.046486500061768
911 - 97341	44.384682042344293
912 - 13905	40.000000000000000
912 - 40520	40.706264874095240
912 - 37449	42.059481689626181
913 - 94574	43.829214001622251
914 - 79104	40.311288741492748
915 - 79343	68.359344642850402
916 - 30602	89.022469073824278
917 - 6236	49.769468552517215
918 - 93481	47.423622805517505
919 - 57396	42.801869118065393
919 - 74924	44.384682042344293
920 - 67396	39.000000000000000
